Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-01-31,The Worst Person in the World,2021,https://boxd.it/8GfXyN,,,,2025-01-31
2025-02-02,Entergalactic,2022,https://boxd.it/8Hd5qP,,,,2025-02-01
2025-02-02,A Bronx Tale,1993,https://boxd.it/8HiOxL,,,,2025-02-01
2025-02-03,2001: A Space Odyssey,1968,https://boxd.it/8IdDtR,,Yes,,2025-02-02
2025-02-03,The Piano Teacher,2001,https://boxd.it/8IyDcj,,,,2025-02-03
2025-02-04,Past Lives,2023,https://boxd.it/8IKqTj,,,,2025-02-03
2025-02-05,Snatch,2000,https://boxd.it/8JpzhF,,,,2025-02-04
2025-02-05,Jacob's Ladder,1990,https://boxd.it/8JEbAt,,,,2025-02-05
2025-02-08,Alice in Wonderland,1951,https://boxd.it/8LfjOL,,,,2025-02-07
2025-02-09,Taxi Driver,1976,https://boxd.it/8Mnkl1,,,,2025-02-08
2025-02-11,Bambi,1942,https://boxd.it/8NjZBb,,,,2025-02-10
2025-02-12,It's Such a Beautiful Day,2012,https://boxd.it/8OpaXh,,,,2025-02-12
2025-02-14,Love Jones,1997,https://boxd.it/8P5Ejl,,,,2025-02-13
2025-02-15,In the Mood for Love,2000,https://boxd.it/8PFEdp,,,,2025-02-14
2025-02-16,Requiem for a Dream,2000,https://boxd.it/8QFxof,,,,2025-02-16
2025-02-22,The Banker,2020,https://boxd.it/8UpRBx,,,,2025-02-21
2025-02-26,Belly,1998,https://boxd.it/8X0Gu3,,,,2025-02-25
2025-02-26,96,2018,https://boxd.it/8XtGRp,,,,2025-02-26
2025-03-11,Paid in Full,2002,https://boxd.it/95p1UB,,,,2025-03-10
2025-07-13,New Jack City,1991,https://boxd.it/aj0xS7,,,,2025-03-15
2025-03-18,Coach Carter,2005,https://boxd.it/99QSej,,,,2025-03-17
2025-03-20,Fresh,1994,https://boxd.it/9b094n,,,,2025-03-20
2025-03-22,Lean On Me,1989,https://boxd.it/9bGtTJ,,,,2025-03-21
2025-03-31,Menace II Society,1993,https://boxd.it/9h6029,,,,2025-03-30
2025-04-02,Ol' Dirty Bastard: A Tale of Two Dirtys,2024,https://boxd.it/9i7VBL,,,,2025-04-01
2025-04-02,The Hateful Eight,2015,https://boxd.it/9iwBuv,,,,2025-04-02
2025-04-06,Ghost,1990,https://boxd.it/9kkr8X,,,,2025-04-05
2025-04-07,Jason's Lyric,1994,https://boxd.it/9l0lQD,,,,2025-04-06
2025-04-10,Dead Presidents,1995,https://boxd.it/9mC5r3,,,,2025-04-09
2025-04-12,The Players Club,1998,https://boxd.it/9nQfSP,,,,2025-04-12
2025-04-15,Devil in a Blue Dress,1995,https://boxd.it/9pnAZH,,,,2025-04-14
2025-04-16,American History X,1998,https://boxd.it/9pZzRj,,,,2025-04-15
2025-04-24,American Gangster,2007,https://boxd.it/9vpOrx,,,,2025-04-23
2025-04-26,What Dreams May Come,1998,https://boxd.it/9we6MN,,Yes,,2025-04-25
2025-04-27,Network,1976,https://boxd.it/9wMiHN,,,,2025-04-26
2025-05-05,Fences,2016,https://boxd.it/9C2yQD,,,,2025-05-05
2025-05-14,Antwone Fisher,2002,https://boxd.it/9GCmyP,,,,2025-05-13
2025-05-16,The Big Country,1958,https://boxd.it/9HZF1l,,,,2025-05-16
2025-06-18,Cinderella,1950,https://boxd.it/a2zE9F,,,,2025-06-18
2025-06-20,Pinocchio,1940,https://boxd.it/a3i399,,,,2025-06-19
2025-06-25,Soul,2020,https://boxd.it/a6UGVT,,Yes,,2025-06-24
2025-06-29,A Bug's Life,1998,https://boxd.it/a9ecYh,,,,2025-06-28
2025-08-10,The Five-Year Engagement,2012,https://boxd.it/aFDmS7,,Yes,,2025-08-09
