name,year,genre,runtime,directors
The Secret Life of Walter Mitty,2013,"Adventure, Comedy, Drama, Fantasy",114,Ben Stiller
TRON: Legacy,2010,"Adventure, Action, Science Fiction",126,Joseph Kosinski
Limitless,2011,"Thriller, Mystery, Science Fiction",106,Neil Burger
The Fifth Element,1997,"Science Fiction, Action, Adventure",126,Luc Besson
Groundhog Day,1993,"Romance, Fantasy, Comedy",101,Harold Ramis
Training Day,2001,"Action, Crime, Drama",122,Antoine Fuqua
They Live,1988,"Science Fiction, Action, Thriller",93,John Carpenter
The Five People You Meet In Heaven,2004,"Drama, Fantasy, Science Fiction, TV Movie",132,Lloyd Kramer
Demolition Man,1993,"Crime, Action, Science Fiction",115,Marco Brambilla
Lucy,2014,"Action, Science Fiction",89,Luc Besson
I Origins,2014,"Science Fiction, Drama",106,Mike Cahill
In Time,2011,"Action, Thriller, Science Fiction",109,Andrew Niccol
Iron Man,2008,"Action, Science Fiction, Adventure",126,Jon Favreau
Mad Max,1979,"Adventure, Action, Thriller, Science Fiction",91,George Miller
Hummingbird,2013,"Action, Thriller",100,Steven Knight
Mr. Nobody,2009,"Science Fiction, Drama, Romance",141,Jaco Van Dormael
The Great Gatsby,2013,"Drama, Romance",143,Baz Luhrmann
Revolver,2005,"Drama, Thriller, Crime, Mystery",115,Guy Ritchie
Ponyo,2008,"Animation, Fantasy, Family",100,Hayao Miyazaki
Unbreakable,2000,"Thriller, Drama, Mystery",106,M. Night Shyamalan
GoodFellas,1990,"Drama, Crime",145,Martin Scorsese
Boyz n the Hood,1991,"Crime, Drama",112,John Singleton
Beetlejuice,1988,"Fantasy, Comedy",92,Tim Burton
The Holy Mountain,1973,Drama,113,Alejandro Jodorowsky
They Cloned Tyrone,2023,"Comedy, Science Fiction, Mystery",122,Juel Taylor
Wanted,2008,"Action, Thriller, Crime",110,Timur Bekmambetov
Rango,2011,"Animation, Comedy, Family, Western, Adventure",112,Gore Verbinski
Soul,2020,"Animation, Family, Comedy, Fantasy, Drama, Music",101,Pete Docter
Cars,2006,"Animation, Adventure, Comedy, Family",117,John Lasseter
The Wolf of Wall Street,2013,"Crime, Drama, Comedy",180,Martin Scorsese
Life of Pi,2012,"Adventure, Drama",127,Ang Lee
Everything Everywhere All at Once,2022,"Action, Adventure, Science Fiction",140,"Daniel Scheinert, Daniel Kwan"
Transformers: Dark of the Moon,2011,"Action, Science Fiction, Adventure",154,Michael Bay
The Matrix,1999,"Action, Science Fiction",136,"Lana Wachowski, Lilly Wachowski"
The Silence of the Lambs,1991,"Crime, Thriller, Drama",119,Jonathan Demme
The Dark Knight Rises,2012,"Action, Crime, Drama, Thriller",165,Christopher Nolan
Enter the Void,2009,"Fantasy, Drama",161,Gaspar Noé
50/50,2011,"Comedy, Drama",100,Jonathan Levine
About Time,2013,"Drama, Romance, Fantasy",123,Richard Curtis
Birdman or (The Unexpected Virtue of Ignorance),2014,"Drama, Comedy",120,Alejandro González Iñárritu
Free Guy,2021,"Comedy, Adventure, Science Fiction",115,Shawn Levy
Ready Player One,2018,"Adventure, Action, Science Fiction",140,Steven Spielberg
The Usual Suspects,1995,"Drama, Crime, Thriller",106,Bryan Singer
Peaceful Warrior,2006,Drama,120,Victor Salva
What Dreams May Come,1998,"Drama, Fantasy, Romance",113,Vincent Ward
Uncle Buck,1989,"Comedy, Drama, Family",100,John Hughes
The Wizard of Oz,1939,"Adventure, Fantasy, Family",102,Victor Fleming
American Psycho,2000,"Thriller, Drama, Crime",102,Mary Harron
Slacker,1990,"Drama, Comedy",97,Richard Linklater
Waking Life,2001,"Animation, Drama, Fantasy",101,Richard Linklater
Joker,2019,"Crime, Thriller, Drama",122,Todd Phillips
Into the Wild,2007,"Adventure, Drama",148,Sean Penn
Akira,1988,"Animation, Science Fiction, Action",124,Katsuhiro Otomo
Ghost in the Shell,1995,"Action, Animation, Science Fiction",83,Mamoru Oshii
Source Code,2011,"Thriller, Science Fiction, Mystery",93,Duncan Jones
Little Buddha,1993,"Drama, History",123,Bernardo Bertolucci
Doctor Strange,2016,"Fantasy, Adventure, Action",115,Scott Derrickson
Deep Cover,1992,"Action, Thriller, Crime",108,Bill Duke
Close Encounters of the Third Kind,1977,"Science Fiction, Drama",137,Steven Spielberg
Videodrome,1983,"Horror, Science Fiction, Mystery",88,David Cronenberg
The Adventures of Tintin,2011,"Adventure, Animation, Mystery",107,Steven Spielberg
In Full Bloom,2019,"Action, Drama",88,"Reza Ghassemi, Adam VillaSeñor"
The Sting,1973,"Comedy, Crime, Drama",129,George Roy Hill
Avatar,2009,"Action, Adventure, Fantasy, Science Fiction",162,James Cameron
The Boys from Brazil,1978,"Drama, Mystery, Science Fiction",125,Franklin J. Schaffner
Fallen Angels,1995,"Action, Romance, Crime",98,Wong Kar-Wai
The Illusionist,2006,"Fantasy, Drama, Thriller, Romance",110,Neil Burger
Casino,1995,"Crime, Drama",179,Martin Scorsese
Bonnie and Clyde,1967,"Crime, Drama",111,Arthur Penn
Donnie Brasco,1997,"Crime, Drama, Thriller",127,Mike Newell
My Life as a Zucchini,2016,"Animation, Comedy, Drama",66,Claude Barras
1917,2019,"War, History, Drama, Action",119,Sam Mendes
Zootopia,2016,"Animation, Adventure, Family, Comedy",109,"Byron Howard, Rich Moore"
Gotti,1996,"Crime, Drama, TV Movie",117,Robert Harmon
Jackie Brown,1997,"Crime, Drama, Thriller",154,Quentin Tarantino
The Man from Earth,2007,"Science Fiction, Drama",87,Richard Schenkman
The Holdovers,2023,"Comedy, Drama",133,Alexander Payne
Wild Tales,2014,"Drama, Thriller, Comedy",122,Damián Szifron
Mars Express,2023,"Animation, Science Fiction, Action, Mystery",89,Jérémie Périn
Transformers One,2024,"Animation, Science Fiction, Adventure, Family",104,Josh Cooley
Perfect Days,2023,Drama,124,Wim Wenders
Good Will Hunting,1997,Drama,127,Gus Van Sant
Dead Poets Society,1989,Drama,129,Peter Weir
Matilda,1996,"Comedy, Family, Fantasy",98,Danny DeVito
The Big Lebowski,1998,"Comedy, Crime",117,Joel Coen
Up,2009,"Animation, Comedy, Family, Adventure",96,Pete Docter
Parasite,2019,"Comedy, Thriller, Drama",133,Bong Joon Ho
The Truman Show,1998,"Comedy, Drama",103,Peter Weir
A Beautiful Mind,2001,"Drama, Romance",135,Ron Howard
Catch Me If You Can,2002,"Drama, Crime",141,Steven Spielberg
Ratatouille,2007,"Animation, Comedy, Family, Fantasy",111,Brad Bird
Stand by Me,1986,"Crime, Drama",89,Rob Reiner
Fight Club,1999,"Drama, Thriller",139,David Fincher
American Beauty,1999,Drama,122,Sam Mendes
GoldenEye,1995,"Adventure, Action, Thriller",130,Martin Campbell
The Perks of Being a Wallflower,2012,Drama,103,Stephen Chbosky
Amélie,2001,"Comedy, Romance",122,Jean-Pierre Jeunet
Mad Max: Fury Road,2015,"Action, Adventure, Science Fiction",121,George Miller
The Shawshank Redemption,1994,"Drama, Crime",142,Frank Darabont
V for Vendetta,2005,"Action, Thriller, Science Fiction",132,James McTeigue
The Worst Person in the World,2021,"Drama, Romance, Comedy",128,Joachim Trier
Half Baked,1998,"Comedy, Crime",82,Tamra Davis
Past Lives,2023,"Drama, Romance",106,Celine Song
Alice in Wonderland,1951,"Animation, Family, Fantasy, Adventure",75,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske"
Bambi,1942,"Animation, Drama, Family",69,David Hand
Love Jones,1997,"Comedy, Drama, Romance",109,Theodore Witcher
In the Mood for Love,2000,"Drama, Romance",99,Wong Kar-Wai
Taxi Driver,1976,"Crime, Drama",114,Martin Scorsese
Jacob's Ladder,1990,"Drama, Mystery, Horror",113,Adrian Lyne
Requiem for a Dream,2000,"Crime, Drama",102,Darren Aronofsky
The Banker,2020,Drama,120,George Nolfi
Paid in Full,2002,"Action, Crime, Drama",98,Charles Stone III
New Jack City,1991,"Thriller, Crime, Drama",97,Mario Van Peebles
Coach Carter,2005,"Drama, History",136,Thomas Carter
Fresh,1994,"Crime, Drama, Thriller",114,Boaz Yakin
Menace II Society,1993,"Drama, Crime, Thriller",97,"Albert Hughes, Allen Hughes"
Ghost,1990,"Fantasy, Drama, Thriller, Mystery, Romance",127,Jerry Zucker
Jason's Lyric,1994,"Crime, Drama, Romance",119,Doug McHenry
Dead Presidents,1995,"Action, Crime, Drama, Thriller, War",119,"Albert Hughes, Allen Hughes"
The Players Club,1998,"Comedy, Drama",104,Ice Cube
Antwone Fisher,2002,"Drama, History, Romance",120,Denzel Washington
The Big Country,1958,"Drama, Western, Romance",167,William Wyler
Cinderella,1950,"Family, Fantasy, Animation, Romance",74,"Hamilton Luske, Clyde Geronimi, Wilfred Jackson"
Pinocchio,1940,"Animation, Family, Fantasy",88,"Hamilton Luske, Ben Sharpsteen, Norman Ferguson, T. Hee, Jack Kinney, Bill Roberts, Wilfred Jackson"
The Five-Year Engagement,2012,"Comedy, Romance",124,Nicholas Stoller
